food_name,source,serving_size_g,calories,protein_g,carb_g,fat_g,notes,calcium_mg,iron_mg
環文蛤,食藥署台灣食品成分資料庫,100,46.0,8.7,3.7,1.0,魚貝類；每100g；食藥署標示值,165,5.9
干貝(冷凍),食藥署台灣食品成分資料庫,100,57.5,12.7,1.7,0.4,魚貝類；每100g；食藥署標示值,6,0.3
干貝(乾)平均值,食藥署台灣食品成分資料庫,100,242.2,53.7,10.8,1.4,魚貝類；每100g；食藥署標示值,55,2.1
干貝(乾),食藥署台灣食品成分資料庫,100,256.1,58.5,15.5,0.7,魚貝類；每100g；食藥署標示值,71,1.5
珠貝(乾),食藥署台灣食品成分資料庫,100,228.4,48.9,6.1,2.2,魚貝類；每100g；食藥署標示值,39,2.7
牡蠣干,食藥署台灣食品成分資料庫,100,242.7,41.0,26.2,7.5,魚貝類；每100g；食藥署標示值,108,20.1
真烏賊平均值,食藥署台灣食品成分資料庫,100,57.2,12.2,3.7,0.6,魚貝類；每100g；食藥署標示值,10,0.1
真烏賊(大),食藥署台灣食品成分資料庫,100,61.4,13.8,0.8,0.2,魚貝類；每100g；食藥署標示值,9,0.2
真烏賊(小),食藥署台灣食品成分資料庫,100,53.0,10.5,6.6,0.9,魚貝類；每100g；食藥署標示值,12,0.1
章魚,食藥署台灣食品成分資料庫,100,60.9,13.0,0.9,0.6,魚貝類；每100g；食藥署標示值,14,6.1
阿根廷魷,食藥署台灣食品成分資料庫,100,70.8,12.4,0.4,2.0,魚貝類；每100g；食藥署標示值,14,0.8
泡魷魚,食藥署台灣食品成分資料庫,100,50.3,11.3,3.0,0.2,魚貝類；每100g；食藥署標示值,31,0
台灣鎖管,食藥署台灣食品成分資料庫,100,71.9,16.0,1.6,0.4,魚貝類；每100g；食藥署標示值,11,0.7
台灣鎖管(宜蘭野生)(2025年取樣),食藥署台灣食品成分資料庫,100,80.4,15.0,3.8,1.8,魚貝類；每100g；食藥署標示值,,
尖鎖管 ,食藥署台灣食品成分資料庫,100,100.1,20.2,2.4,1.5,魚貝類；每100g；食藥署標示值,31,0.7
軟翅仔,食藥署台灣食品成分資料庫,100,70.0,14.7,0.8,0.8,魚貝類；每100g；食藥署標示值,16,0.1
香螺 ,食藥署台灣食品成分資料庫,100,86.0,19.9,0.0,0.1,魚貝類；每100g；食藥署標示值,91,3.1
象牙鳳螺,食藥署台灣食品成分資料庫,100,78.1,16.9,3.6,0.7,魚貝類；每100g；食藥署標示值,62,1.9
泥螺,食藥署台灣食品成分資料庫,100,94.6,21.5,0.3,0.3,魚貝類；每100g；食藥署標示值,40,1.4
雪螺,食藥署台灣食品成分資料庫,100,40.2,8.9,0.0,0.3,魚貝類；每100g；食藥署標示值,326,1.9
九孔螺,食藥署台灣食品成分資料庫,100,73.1,15.0,5.8,1.0,魚貝類；每100g；食藥署標示值,46,11.4
鮑魚,食藥署台灣食品成分資料庫,100,68.7,15.8,9.5,0.1,魚貝類；每100g；食藥署標示值,34,0.5
蝸牛肉,食藥署台灣食品成分資料庫,100,77.6,16.7,0.0,0.7,魚貝類；每100g；食藥署標示值,115,2.2
烏賊精囊,食藥署台灣食品成分資料庫,100,43.5,9.8,6.4,0.2,魚貝類；每100g；食藥署標示值,31,0
小卷干,食藥署台灣食品成分資料庫,100,246.4,53.2,4.7,2.1,魚貝類；每100g；食藥署標示值,57,3.9
白海參,食藥署台灣食品成分資料庫,100,32.4,7.4,0.0,0.1,魚貝類；每100g；食藥署標示值,65,0.6
仿刺參,食藥署台灣食品成分資料庫,100,35.8,8.2,0.8,0.1,魚貝類；每100g；食藥署標示值,69,0
南美刺參,食藥署台灣食品成分資料庫,100,51.5,12.0,0.0,0.0,魚貝類；每100g；食藥署標示值,68,0.5
紅海參,食藥署台灣食品成分資料庫,100,32.7,7.5,0.0,0.1,魚貝類；每100g；食藥署標示值,63,1
黑烏參,食藥署台灣食品成分資料庫,100,28.8,6.5,0.0,0.1,魚貝類；每100g；食藥署標示值,63,0.2
海蜇皮,食藥署台灣食品成分資料庫,100,18.7,4.4,2.2,0.0,魚貝類；每100g；食藥署標示值,31,2.6
雞蛋平均值,食藥署台灣食品成分資料庫,100,135.4,12.7,1.6,8.9,蛋類；每100g；食藥署標示值,54,1.9
雞蛋(白殼),食藥署台灣食品成分資料庫,100,139.0,12.9,1.3,9.2,蛋類；每100g；食藥署標示值,69,2.1
雞蛋(黃殼),食藥署台灣食品成分資料庫,100,131.8,12.5,2.0,8.6,蛋類；每100g；食藥署標示值,38,1.7
土雞蛋,食藥署台灣食品成分資料庫,100,129.1,12.9,1.7,8.1,蛋類；每100g；食藥署標示值,43,1.8
土雞蛋(2022年取樣),食藥署台灣食品成分資料庫,100,137.0,12.2,1.8,9.3,蛋類；每100g；食藥署標示值,52,2.4
烏骨雞蛋,食藥署台灣食品成分資料庫,100,159.7,12.7,2.4,11.6,蛋類；每100g；食藥署標示值,54,2.6
雞蛋(高DHA),食藥署台灣食品成分資料庫,100,131.9,12.5,1.8,8.6,蛋類；每100g；食藥署標示值,47,2
雞蛋(高次亞麻油酸),食藥署台灣食品成分資料庫,100,139.1,12.4,2.8,9.4,蛋類；每100g；食藥署標示值,13,1.6
雞蛋(高亞麻油酸),食藥署台灣食品成分資料庫,100,132.6,13.0,0.8,8.4,蛋類；每100g；食藥署標示值,9,1.3
初卵雞蛋,食藥署台灣食品成分資料庫,100,136.1,12.3,1.4,9.2,蛋類；每100g；食藥署標示值,41,1.9
雞蛋(高維生素A&E),食藥署台灣食品成分資料庫,100,134.0,12.1,0.0,9.0,蛋類；每100g；食藥署標示值,44,2.9
雞蛋(高維生素E),食藥署台灣食品成分資料庫,100,143.2,12.8,1.4,9.7,蛋類；每100g；食藥署標示值,21,2.1
雞蛋白平均值,食藥署台灣食品成分資料庫,100,50.0,11.2,0.5,0.1,蛋類；每100g；食藥署標示值,6,0.3
雞蛋白(白殼),食藥署台灣食品成分資料庫,100,47.6,10.7,0.0,0.1,蛋類；每100g；食藥署標示值,5,0.3
雞蛋白(黃殼),食藥署台灣食品成分資料庫,100,52.5,11.6,1.2,0.2,蛋類；每100g；食藥署標示值,7,0.4
烏骨雞蛋白,食藥署台灣食品成分資料庫,100,46.9,10.6,1.7,0.0,蛋類；每100g；食藥署標示值,3,0.1
雞蛋黃平均值,食藥署台灣食品成分資料庫,100,308.0,15.2,3.6,26.8,蛋類；每100g；食藥署標示值,158,5.5
雞蛋黃(白殼),食藥署台灣食品成分資料庫,100,330.1,16.0,1.6,28.9,蛋類；每100g；食藥署標示值,128,5.7
雞蛋黃(黃殼),食藥署台灣食品成分資料庫,100,285.9,14.5,5.6,24.7,蛋類；每100g；食藥署標示值,187,5.2
烏骨雞蛋黃,食藥署台灣食品成分資料庫,100,343.7,15.5,1.4,30.6,蛋類；每100g；食藥署標示值,137,5.9
雞蛋黃(高維生素E),食藥署台灣食品成分資料庫,100,314.3,16.2,5.4,27.0,蛋類；每100g；食藥署標示值,149,6.2
溫泉蛋,食藥署台灣食品成分資料庫,100,137.5,12.9,3.8,7.8,蛋類；每100g；食藥署標示值,52,1.4
雞水煮蛋,食藥署台灣食品成分資料庫,100,144.2,14.0,1.7,9.2,蛋類；每100g；食藥署標示值,53,2.3
雞水煮蛋白,食藥署台灣食品成分資料庫,100,60.8,13.6,1.5,0.2,蛋類；每100g；食藥署標示值,7,0
雞水煮蛋黃,食藥署台灣食品成分資料庫,100,342.6,15.5,2.9,30.5,蛋類；每100g；食藥署標示值,143,6.5
茶葉蛋平均值,食藥署台灣食品成分資料庫,100,145.0,13.7,2.2,9.1,蛋類；每100g；食藥署標示值,50,2.6
茶葉蛋(市售),食藥署台灣食品成分資料庫,100,146.7,13.5,3.5,8.7,蛋類；每100g；食藥署標示值,50,1.4
茶葉蛋(浸泡隔夜),食藥署台灣食品成分資料庫,100,143.4,13.8,0.9,9.4,蛋類；每100g；食藥署標示值,50,3.8
茶葉蛋白(浸泡隔夜),食藥署台灣食品成分資料庫,100,54.4,12.9,0.4,0.1,蛋類；每100g；食藥署標示值,12,0
茶葉蛋黃(浸泡隔夜),食藥署台灣食品成分資料庫,100,344.1,15.7,2.2,30.3,蛋類；每100g；食藥署標示值,136,5.8
雞皮蛋平均值,食藥署台灣食品成分資料庫,100,134.3,12.5,3.0,8.1,蛋類；每100g；食藥署標示值,45,1.6
雞皮蛋,食藥署台灣食品成分資料庫,100,141.9,12.8,3.6,8.5,蛋類；每100g；食藥署標示值,50,1.2
土雞皮蛋,食藥署台灣食品成分資料庫,100,126.8,12.2,2.3,7.6,蛋類；每100g；食藥署標示值,41,1.9
滷蛋平均值,食藥署台灣食品成分資料庫,100,183.8,16.4,4.6,11.1,蛋類；每100g；食藥署標示值,52,2.7
雞滷蛋(市售),食藥署台灣食品成分資料庫,100,190.8,15.7,6.4,11.4,蛋類；每100g；食藥署標示值,61,2.7
雞滷蛋(現煮),食藥署台灣食品成分資料庫,100,178.4,16.6,3.1,11.1,蛋類；每100g；食藥署標示值,54,2.4
雞滷蛋(浸泡隔夜),食藥署台灣食品成分資料庫,100,182.1,16.9,4.4,10.8,蛋類；每100g；食藥署標示值,40,2.9
滷蛋白平均值,食藥署台灣食品成分資料庫,100,86.7,16.7,4.6,0.2,蛋類；每100g；食藥署標示值,14,0.9
雞滷蛋白(現煮),食藥署台灣食品成分資料庫,100,83.9,16.6,3.9,0.2,蛋類；每100g；食藥署標示值,13,0.6
雞滷蛋白(浸泡隔夜),食藥署台灣食品成分資料庫,100,89.5,16.7,5.2,0.2,蛋類；每100g；食藥署標示值,14,1.2
滷蛋黃平均值,食藥署台灣食品成分資料庫,100,379.1,17.0,1.9,33.7,蛋類；每100g；食藥署標示值,119,6.5
雞滷蛋黃(現煮),食藥署台灣食品成分資料庫,100,375.7,16.6,1.3,33.8,蛋類；每100g；食藥署標示值,141,6.6
雞滷蛋黃(浸泡隔夜),食藥署台灣食品成分資料庫,100,382.4,17.4,2.6,33.6,蛋類；每100g；食藥署標示值,97,6.5
雞鐵蛋,食藥署台灣食品成分資料庫,100,287.5,26.6,5.9,17.5,蛋類；每100g；食藥署標示值,84,3.6
雞水波蛋,食藥署台灣食品成分資料庫,100,147.0,11.6,0.8,10.7,蛋類；每100g；食藥署標示值,50,3.9
荷包蛋(不加油),食藥署台灣食品成分資料庫,100,161.9,14.0,1.4,11.2,蛋類；每100g；食藥署標示值,52,3.4
荷包蛋(加油1小匙),食藥署台灣食品成分資料庫,100,192.2,13.0,1.6,14.9,蛋類；每100g；食藥署標示值,55,2.3
煎蛋(不加油),食藥署台灣食品成分資料庫,100,160.5,13.5,4.9,11.3,蛋類；每100g；食藥署標示值,58,9.8
炒蛋(加油3大匙),食藥署台灣食品成分資料庫,100,214.5,12.9,4.6,16.1,蛋類；每100g；食藥署標示值,51,2.5
蒸蛋平均值,食藥署台灣食品成分資料庫,100,64.4,5.3,2.2,4.6,蛋類；每100g；食藥署標示值,24,0.9
蒸蛋(市售),食藥署台灣食品成分資料庫,100,31.6,3.6,3.4,1.8,蛋類；每100g；食藥署標示值,20,0.9
蒸蛋(微波爐),食藥署台灣食品成分資料庫,100,82.2,6.4,1.8,6.0,蛋類；每100g；食藥署標示值,25,1
蒸蛋(電鍋),食藥署台灣食品成分資料庫,100,79.5,5.8,1.3,6.0,蛋類；每100g；食藥署標示值,27,0.8
鴨蛋,食藥署台灣食品成分資料庫,100,187.0,13.1,0.2,14.4,蛋類；每100g；食藥署標示值,67,2.8
紅面番鴨蛋,食藥署台灣食品成分資料庫,100,198.0,13.1,0.0,15.6,蛋類；每100g；食藥署標示值,48,3.5
鴨蛋白,食藥署台灣食品成分資料庫,100,47.1,10.8,1.4,0.0,蛋類；每100g；食藥署標示值,2,0.3
鴨蛋黃,食藥署台灣食品成分資料庫,100,346.7,15.8,2.0,30.8,蛋類；每100g；食藥署標示值,140,6.4
鴨皮蛋,食藥署台灣食品成分資料庫,100,163.9,12.8,2.7,11.4,蛋類；每100g；食藥署標示值,40,3.4
鴨鹹蛋平均值,食藥署台灣食品成分資料庫,100,184.6,13.3,1.1,14.1,蛋類；每100g；食藥署標示值,73,3
鴨生鹹蛋,食藥署台灣食品成分資料庫,100,177.7,12.5,0.0,14.7,蛋類；每100g；食藥署標示值,32,3.3
鴨熟鹹蛋,食藥署台灣食品成分資料庫,100,182.6,13.7,0.8,13.8,蛋類；每100g；食藥署標示值,62,2.8
鴨熟鹹蛋(薄鹽),食藥署台灣食品成分資料庫,100,193.5,13.7,3.5,13.8,蛋類；每100g；食藥署標示值,124,2.9
鴨鹹蛋黃,食藥署台灣食品成分資料庫,100,528.3,23.6,1.3,47.6,蛋類；每100g；食藥署標示值,185,7.9
鵪鶉蛋,食藥署台灣食品成分資料庫,100,172.2,12.7,1.2,13.0,蛋類；每100g；食藥署標示值,51,3
鵪鶉水煮蛋,食藥署台灣食品成分資料庫,100,162.8,12.3,0.0,12.1,蛋類；每100g；食藥署標示值,58,2.6
鵪鶉皮蛋,食藥署台灣食品成分資料庫,100,160.4,13.8,1.8,10.9,蛋類；每100g；食藥署標示值,83,2.4
鵪鶉鹹蛋,食藥署台灣食品成分資料庫,100,173.2,13.7,1.9,12.3,蛋類；每100g；食藥署標示值,56,2.8
鵪鶉滷蛋,食藥署台灣食品成分資料庫,100,238.2,16.2,11.1,14.3,蛋類；每100g；食藥署標示值,78,3.1
鵪鶉鐵蛋,食藥署台灣食品成分資料庫,100,439.1,28.8,20.4,26.9,蛋類；每100g；食藥署標示值,153,6.2
鴿蛋,食藥署台灣食品成分資料庫,100,96.2,10.2,2.5,5.7,蛋類；每100g；食藥署標示值,25,3.2
鵝蛋,食藥署台灣食品成分資料庫,100,178.8,10.0,3.2,15.0,蛋類；每100g；食藥署標示值,49,4.3
高脂鮮乳,食藥署台灣食品成分資料庫,100,72.5,3.2,6.1,4.0,乳品類；每100g；食藥署標示值,116,0.1
全脂鮮乳平均值,食藥署台灣食品成分資料庫,100,63.2,3.1,4.8,3.6,乳品類；每100g；食藥署標示值,104,0.1
全脂鮮乳(1月取樣),食藥署台灣食品成分資料庫,100,62.4,2.9,4.7,3.6,乳品類；每100g；食藥署標示值,117,0.2
全脂鮮乳(4月取樣),食藥署台灣食品成分資料庫,100,61.8,2.9,4.6,3.6,乳品類；每100g；食藥署標示值,92,0.1
全脂鮮乳(6月取樣),食藥署台灣食品成分資料庫,100,62.7,3.2,4.6,3.6,乳品類；每100g；食藥署標示值,101,0.1
全脂鮮乳(9月取樣),食藥署台灣食品成分資料庫,100,63.8,2.8,5.3,3.6,乳品類；每100g；食藥署標示值,89,0
全脂鮮乳(10月取樣),食藥署台灣食品成分資料庫,100,64.0,3.0,4.8,3.7,乳品類；每100g；食藥署標示值,97,0
全脂鮮乳(11月取樣),食藥署台灣食品成分資料庫,100,61.8,3.1,4.6,3.5,乳品類；每100g；食藥署標示值,110,0.1
全脂鮮乳(12月取樣),食藥署台灣食品成分資料庫,100,64.2,3.2,5.2,3.4,乳品類；每100g；食藥署標示值,94,0.1
全脂鮮乳(7月取樣),食藥署台灣食品成分資料庫,100,64.8,3.7,4.2,3.7,乳品類；每100g；食藥署標示值,133,0.1
中脂鮮乳,食藥署台灣食品成分資料庫,100,48.5,3.1,4.8,1.9,乳品類；每100g；食藥署標示值,107,0.1
低脂鮮乳,食藥署台灣食品成分資料庫,100,42.6,3.3,5.0,1.1,乳品類；每100g；食藥署標示值,96,0
高脂強化鮮乳(鈣強化),食藥署台灣食品成分資料庫,100,68.1,3.2,5.2,3.9,乳品類；每100g；食藥署標示值,200,0
高脂強化鮮乳(寡醣強化),食藥署台灣食品成分資料庫,100,69.2,3.2,5.1,4.1,乳品類；每100g；食藥署標示值,71,0.2
中脂強化鮮乳(脂肪酸調整),食藥署台灣食品成分資料庫,100,59.3,2.0,8.6,2.0,乳品類；每100g；食藥署標示值,61,0.1
低脂強化鮮乳(維生素E強化),食藥署台灣食品成分資料庫,100,40.7,3.0,4.2,1.3,乳品類；每100g；食藥署標示值,103,0.1
低脂強化鮮乳(寡醣強化),食藥署台灣食品成分資料庫,100,46.2,3.1,5.5,1.3,乳品類；每100g；食藥署標示值,112,0.1
脫脂強化鮮乳(鈣強化),食藥署台灣食品成分資料庫,100,42.2,3.5,6.3,0.3,乳品類；每100g；食藥署標示值,150,0
脫脂強化鮮乳(寡醣強化),食藥署台灣食品成分資料庫,100,36.5,3.1,5.2,0.4,乳品類；每100g；食藥署標示值,101,0
脫脂強化鮮乳(鐵強化),食藥署台灣食品成分資料庫,100,40.8,4.2,5.6,0.2,乳品類；每100g；食藥署標示值,119,0.7
中脂調味乳(巧克力),食藥署台灣食品成分資料庫,100,61.0,1.9,9.2,2.0,乳品類；每100g；食藥署標示值,60,0.4
中脂調味乳(多穀類),食藥署台灣食品成分資料庫,100,65.2,2.4,7.6,3.1,乳品類；每100g；食藥署標示值,52,0.1
中脂調味乳(果汁),食藥署台灣食品成分資料庫,100,54.2,1.6,8.4,1.6,乳品類；每100g；食藥署標示值,31,0
中脂調味乳(鈣強化),食藥署台灣食品成分資料庫,100,68.0,2.3,8.9,2.6,乳品類；每100g；食藥署標示值,79,0.1
中脂調味乳(維生素強化),食藥署台灣食品成分資料庫,100,59.6,2.0,8.6,1.9,乳品類；每100g；食藥署標示值,46,0.1
中脂調味乳(纖維&維生素E強化),食藥署台灣食品成分資料庫,100,65.1,2.4,9.3,2.1,乳品類；每100g；食藥署標示值,65,0.1
低脂調味乳(木瓜),食藥署台灣食品成分資料庫,100,60.9,1.8,10.5,1.3,乳品類；每100g；食藥署標示值,41,0.2
高脂保久乳,食藥署台灣食品成分資料庫,100,71.0,3.1,3.4,5.1,乳品類；每100g；食藥署標示值,104,0.1
全脂保久乳,食藥署台灣食品成分資料庫,100,62.0,3.0,5.1,3.4,乳品類；每100g；食藥署標示值,95,0.1
中脂保久乳,食藥署台灣食品成分資料庫,100,48.5,3.2,4.8,1.8,乳品類；每100g；食藥署標示值,80,0.1
低脂強化保久乳(寡糖強化),食藥署台灣食品成分資料庫,100,45.9,3.2,6.0,1.0,乳品類；每100g；食藥署標示值,110,0.1
中脂調味保久乳(巧克力),食藥署台灣食品成分資料庫,100,59.3,1.9,9.3,1.7,乳品類；每100g；食藥署標示值,58,0.2
中脂調味保久乳(布丁),食藥署台灣食品成分資料庫,100,60.9,1.6,9.8,1.7,乳品類；每100g；食藥署標示值,37,0.1
全脂奶粉,食藥署台灣食品成分資料庫,100,504.2,26.4,37.0,28.2,乳品類；每100g；食藥署標示值,912,0.2
部份脫脂奶粉,食藥署台灣食品成分資料庫,100,420.5,32.8,46.1,11.6,乳品類；每100g；食藥署標示值,1261,0.4
部份脫脂奶粉(即溶),食藥署台灣食品成分資料庫,100,445.3,23.7,51.6,16.4,乳品類；每100g；食藥署標示值,959,0.2
部份脫脂低乳糖奶粉,食藥署台灣食品成分資料庫,100,415.8,34.6,45.6,10.4,乳品類；每100g；食藥署標示值,1246,0.5
脫脂奶粉,食藥署台灣食品成分資料庫,100,360.7,36.2,51.2,0.9,乳品類；每100g；食藥署標示值,1406,0.2
脫脂奶粉(即溶),食藥署台灣食品成分資料庫,100,359.7,38.0,48.8,1.0,乳品類；每100g；食藥署標示值,1411,0.4
全脂強化奶粉(纖維強化),食藥署台灣食品成分資料庫,100,493.5,25.6,39.5,27.0,乳品類；每100g；食藥署標示值,984,3.1
部份脫脂強化奶粉(鈣強化),食藥署台灣食品成分資料庫,100,408.0,25.0,51.0,11.8,乳品類；每100g；食藥署標示值,1555,6.7
部份脫脂強化奶粉(纖維&DHA強化),食藥署台灣食品成分資料庫,100,465.9,23.2,47.3,22.1,乳品類；每100g；食藥署標示值,1283,0.7
部份脫脂強化奶粉(纖維&鈣強化),食藥署台灣食品成分資料庫,100,373.4,35.9,48.9,3.7,乳品類；每100g；食藥署標示值,1707,3.4
部份脫脂強化奶粉(脂肪酸調整),食藥署台灣食品成分資料庫,100,481.1,22.7,45.9,23.5,乳品類；每100g；食藥署標示值,969,9.3
脫脂強化奶粉(抗氧化),食藥署台灣食品成分資料庫,100,365.1,32.3,56.6,1.0,乳品類；每100g；食藥署標示值,1080,0
脫脂強化奶粉(鈣&維生素A強化),食藥署台灣食品成分資料庫,100,360.0,38.0,48.8,1.0,乳品類；每100g；食藥署標示值,1743,0.4
"脫脂強化奶粉(鈣&維生素C,E強化)",食藥署台灣食品成分資料庫,100,360.2,32.8,55.4,0.7,乳品類；每100g；食藥署標示值,2325,0.3
脫脂強化奶粉(鈣&鐵強化),食藥署台灣食品成分資料庫,100,360.2,35.6,52.3,0.7,乳品類；每100g；食藥署標示值,1894,7.8
部份脫脂調味奶粉(巧克力),食藥署台灣食品成分資料庫,100,390.7,14.1,71.9,6.9,乳品類；每100g；食藥署標示值,983,3.8
部份脫脂調味奶粉(果汁),食藥署台灣食品成分資料庫,100,435.3,19.8,61.4,12.3,乳品類；每100g；食藥署標示值,736,0.4
脫脂稀釋發酵乳,食藥署台灣食品成分資料庫,100,68.1,1.1,15.8,0.1,乳品類；每100g；食藥署標示值,34,0.1
脫脂稀釋發酵乳(鈣強化),食藥署台灣食品成分資料庫,100,72.2,1.0,16.9,0.1,乳品類；每100g；食藥署標示值,52,0
全脂濃稠發酵乳,食藥署台灣食品成分資料庫,100,90.2,4.1,11.3,3.2,乳品類；每100g；食藥署標示值,90,0
中脂濃稠發酵乳,食藥署台灣食品成分資料庫,100,80.5,2.9,12.6,2.3,乳品類；每100g；食藥署標示值,87,0.1
中脂濃稠發酵乳(無糖&纖維強化),食藥署台灣食品成分資料庫,100,73.1,3.2,10.4,2.2,乳品類；每100g；食藥署標示值,94,0
中脂濃稠發酵乳(草莓),食藥署台灣食品成分資料庫,100,87.6,3.1,13.0,2.7,乳品類；每100g；食藥署標示值,78,0
低脂濃稠發酵乳,食藥署台灣食品成分資料庫,100,73.3,2.3,13.6,1.1,乳品類；每100g；食藥署標示值,59,0.1
脫脂濃稠發酵乳,食藥署台灣食品成分資料庫,100,63.2,3.0,12.1,0.4,乳品類；每100g；食藥署標示值,76,0
脫脂濃稠發酵乳(低熱量),食藥署台灣食品成分資料庫,100,37.0,2.0,6.9,0.1,乳品類；每100g；食藥署標示值,70,0
脫脂濃稠發酵乳(草莓),食藥署台灣食品成分資料庫,100,67.9,2.3,13.8,0.4,乳品類；每100g；食藥署標示值,56,0
脫脂濃稠發酵乳(啤酒酵母),食藥署台灣食品成分資料庫,100,34.5,2.1,6.4,0.1,乳品類；每100g；食藥署標示值,73,0.3
高脂凝態發酵乳(纖維強化),食藥署台灣食品成分資料庫,100,91.3,3.2,11.9,3.8,乳品類；每100g；食藥署標示值,97,0.4
全脂凝態發酵乳,食藥署台灣食品成分資料庫,100,97.2,3.1,13.6,3.3,乳品類；每100g；食藥署標示值,103,0.1
中脂凝態發酵乳(草莓),食藥署台灣食品成分資料庫,100,102.0,3.7,15.7,2.7,乳品類；每100g；食藥署標示值,83,0.1
中脂凝態發酵乳(蘆薈),食藥署台灣食品成分資料庫,100,89.2,1.7,15.1,2.5,乳品類；每100g；食藥署標示值,114,0
脫脂凝態發酵乳(纖維強化),食藥署台灣食品成分資料庫,100,83.9,4.1,15.9,0.5,乳品類；每100g；食藥署標示值,142,0.1
脫脂保久稀釋發酵乳,食藥署台灣食品成分資料庫,100,45.7,0.1,11.0,0.1,乳品類；每100g；食藥署標示值,10,0
脫脂保久濃稠發酵乳(草莓&蘋果),食藥署台灣食品成分資料庫,100,68.2,3.0,13.6,0.2,乳品類；每100g；食藥署標示值,67,0.1
淡煉乳,食藥署台灣食品成分資料庫,100,137.1,6.5,9.1,8.3,乳品類；每100g；食藥署標示值,225,0.2
加糖部份脫脂煉乳,食藥署台灣食品成分資料庫,100,325.2,7.5,56.2,7.8,乳品類；每100g；食藥署標示值,267,0.1
切片乾酪,食藥署台灣食品成分資料庫,100,309.3,18.3,5.9,23.7,乳品類；每100g；食藥署標示值,606,1
切片乾酪(低脂),食藥署台灣食品成分資料庫,100,240.7,21.7,8.8,13.0,乳品類；每100g；食藥署標示值,598,2.9
刨絲乾酪,食藥署台灣食品成分資料庫,100,323.0,25.1,4.4,22.6,乳品類；每100g；食藥署標示值,940,0.1
乾酪粉,食藥署台灣食品成分資料庫,100,480.5,40.4,3.1,34.0,乳品類；每100g；食藥署標示值,1151,0.4
鮮奶可可,食藥署台灣食品成分資料庫,100,77.3,2.1,11.6,2.7,乳品類；每100g；食藥署標示值,105,1.5
木瓜牛奶,食藥署台灣食品成分資料庫,100,41.2,1.7,7.7,0.6,乳品類；每100g；食藥署標示值,38,0.1
高脂鮮羊乳,食藥署台灣食品成分資料庫,100,65.3,3.4,4.2,4.0,乳品類；每100g；食藥署標示值,110,0.1
中脂鮮羊乳,食藥署台灣食品成分資料庫,100,47.7,2.7,3.9,2.4,乳品類；每100g；食藥署標示值,63,0.1
保久羊乳,食藥署台灣食品成分資料庫,100,58.9,3.0,4.5,3.3,乳品類；每100g；食藥署標示值,105,0
中脂調味保久羊乳(巧克力),食藥署台灣食品成分資料庫,100,58.6,1.1,10.3,1.5,乳品類；每100g；食藥署標示值,33,1.1
中脂調味保久羊乳(果汁),食藥署台灣食品成分資料庫,100,75.3,2.9,9.5,2.8,乳品類；每100g；食藥署標示值,102,0
全脂羊奶粉,食藥署台灣食品成分資料庫,100,510.4,26.7,34.8,29.8,乳品類；每100g；食藥署標示值,1069,0.3
全脂羊奶粉(即溶),食藥署台灣食品成分資料庫,100,517.4,25.9,35.1,30.8,乳品類；每100g；食藥署標示值,849,0.2
牛油(未精煉),食藥署台灣食品成分資料庫,100,642.3,0.0,4.2,71.9,油脂類；每100g；食藥署標示值,,
牛油(精煉),食藥署台灣食品成分資料庫,100,885.3,0.0,0.6,99.1,油脂類；每100g；食藥署標示值,6,0.4
豬油,食藥署台灣食品成分資料庫,100,889.9,0.0,0.0,99.7,油脂類；每100g；食藥署標示值,,
豬油(2022年取樣),食藥署台灣食品成分資料庫,100,891.7,0.0,0.0,99.8,油脂類；每100g；食藥署標示值,0,0
高油酸豬油,食藥署台灣食品成分資料庫,100,893.0,0.0,0.0,100.0,油脂類；每100g；食藥署標示值,,
雞油,食藥署台灣食品成分資料庫,100,890.8,0.0,0.0,99.8,油脂類；每100g；食藥署標示值,,
"奶油(固態,不加鹽)",食藥署台灣食品成分資料庫,100,733.0,0.6,0.9,82.7,油脂類；每100g；食藥署標示值,19,0.4
"奶油(固態,加鹽)",食藥署台灣食品成分資料庫,100,698.9,0.7,3.7,77.5,油脂類；每100g；食藥署標示值,21,0.2
奶油(液態),食藥署台灣食品成分資料庫,100,340.0,2.0,0.0,39.1,油脂類；每100g；食藥署標示值,71,0.4
人造奶油(維生素強化),食藥署台灣食品成分資料庫,100,725.1,0.1,0.0,82.0,油脂類；每100g；食藥署標示值,1,4.8
人造奶油(2021年取樣),食藥署台灣食品成分資料庫,100,722.1,0.1,1.7,81.7,油脂類；每100g；食藥署標示值,2,0
中脂人造奶油,食藥署台灣食品成分資料庫,100,673.8,0.0,1.3,76.2,油脂類；每100g；食藥署標示值,3,0.5
人造奶油(低熱量),食藥署台灣食品成分資料庫,100,94.0,2.5,29.6,10.6,油脂類；每100g；食藥署標示值,2,0.1
大豆油,食藥署台灣食品成分資料庫,100,883.9,0.0,0.0,100.0,油脂類；每100g；食藥署標示值,,
大豆油(卵磷脂強化),食藥署台灣食品成分資料庫,100,880.1,0.0,0.0,99.6,油脂類；每100g；食藥署標示值,,
大豆油(多種維生素強化),食藥署台灣食品成分資料庫,100,883.1,0.0,0.0,99.9,油脂類；每100g；食藥署標示值,,
玉米油,食藥署台灣食品成分資料庫,100,882.6,0.0,0.1,99.8,油脂類；每100g；食藥署標示值,,
